gene_id	gene_name	chromosome	start	end
ENSMUSG00000056158	Car10	11	93098028	93601749
ENSMUSG00000009185	Ccl8	11	82115185	82116799
ENSMUSG00000085434	Gm11725	11	117871250	117887416
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000039781	Cep131	11	120064430	120086827
ENSMUSG00000099331	Mir7239	11	46170087	46170143
ENSMUSG00000086474	9130204K15Rik	11	79781979	79872394
ENSMUSG00000020817	Rabep1	11	70844778	70943105
ENSMUSG00000040594	Ranbp17	11	33211795	33513746
ENSMUSG00000070249	Gm23520	11	38798171	38798277
ENSMUSG00000020704	Asic2	11	80880169	81968457
ENSMUSG00000052298	Cdc42se2	11	54717456	54787675
ENSMUSG00000020193	Zpbp	11	11279626	11462408
ENSMUSG00000086003	B230206L02Rik	11	94133485	94155776
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000087637	Gm11986	11	7270351	7290374
ENSMUSG00000045671	Spred2	11	19924375	20024026
ENSMUSG00000081112	Gm12140	11	41378078	41378621
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000020704	Asic2	11	80880169	81968457
ENSMUSG00000088415	Gm24237	10	105929612	105929743
ENSMUSG00000020023	Tmcc3	10	94311949	94590956
ENSMUSG00000069670	Nkain2	10	31689310	32890462
ENSMUSG00000058589	Anks1b	10	89873509	90973300
ENSMUSG00000000730	Dnmt3l	10	78041947	78063622
ENSMUSG00000071434	9230019H11Rik	10	3119841	3129546
ENSMUSG00000088253	Gm24285	10	57174030	57174129
ENSMUSG00000088280	Gm23584	10	48437822	48437950
ENSMUSG00000019866	Aim1	10	43950307	44148853
ENSMUSG00000019848	Popdc3	10	45178098	45318452
ENSMUSG00000088415	Gm24237	10	105929612	105929743
ENSMUSG00000063953	Amd2	10	35708691	35711891
ENSMUSG00000100000	1700023F02Rik	10	66120605	66254223
ENSMUSG00000101926	Gm28904	10	9475142	9479298
ENSMUSG00000060044	Tmem26	10	68723746	68782654
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000036019	Tmtc2	10	105187663	105574451
ENSMUSG00000020151	Ptprr	10	116018213	116274932
ENSMUSG00000055958	Gm9987	10	58812574	58813142
ENSMUSG00000046934	Csl	10	99757705	99759658
ENSMUSG00000095105	Edaradd	13	12471209	12520450
ENSMUSG00000021640	Naip1	13	100407770	100446406
ENSMUSG00000047094	Ofcc1	13	40001882	40288011
ENSMUSG00000021730	Hcn1	13	117602480	117976802
ENSMUSG00000038175	Mylip	13	45389742	45412019
ENSMUSG00000039182	AW209491	13	14630245	14638202
ENSMUSG00000065256	Gm23972	13	39858863	39859027
ENSMUSG00000074794	Arrdc3	13	80883384	80896035
ENSMUSG00000085488	4930557F10Rik	13	23276204	23313400
ENSMUSG00000100596	Gm29502	13	100847433	100977915
ENSMUSG00000021715	Cwc27	13	104631140	104817142
ENSMUSG00000078945	Naip2	13	100144063	100202092
ENSMUSG00000097098	9330111N05Rik	13	80962888	81128864
ENSMUSG00000021477	Ctsl	13	64363214	64370306
ENSMUSG00000084733	Gm25808	13	102228669	102228952
ENSMUSG00000021335	Slc17a1	13	23867750	23895730
ENSMUSG00000102924	Gm37149	13	37513994	37514334
ENSMUSG00000021595	Nsun2	13	69533746	69635780
ENSMUSG00000047117	Ankdd1b	13	96416134	96471198
ENSMUSG00000021464	Ror2	13	53109312	53286124
ENSMUSG00000021136	Smoc1	12	81026808	81186414
ENSMUSG00000021003	Galc	12	98202304	98259459
ENSMUSG00000077270	Gm22782	12	65566090	65566221
ENSMUSG00000021054	Sgpp1	12	75714248	75735729
ENSMUSG00000048004	Tmem196	12	119945957	120019211
ENSMUSG00000102096	1700101O22Rik	12	7372039	7380330
ENSMUSG00000084568	Gm26480	12	96255941	96256237
ENSMUSG00000061911	Myt1l	12	29528384	29923209
ENSMUSG00000002997	Prkar2b	12	31958476	32061296
ENSMUSG00000051890	Klhdc1	12	69241176	69284632
ENSMUSG00000093214	Gm25248	12	42281716	42281813
ENSMUSG00000103446	Gm38203	12	113745520	113745889
ENSMUSG00000057160	Gm16372	12	24493207	24493656
ENSMUSG00000034912	Mdga2	12	66469568	67222549
ENSMUSG00000098530	Gm28051	12	102719975	102757765
ENSMUSG00000066392	Nrxn3	12	88722876	90334935
ENSMUSG00000077586	Gm24377	12	59665654	59665784
ENSMUSG00000098709	Gm27528	12	109532442	109532646
ENSMUSG00000056899	Immp2l	12	41024090	41955588
ENSMUSG00000064386	Gm26449	12	14878495	14878598
ENSMUSG00000060311	Mucl1	15	103753607	103755437
ENSMUSG00000022335	Zfat	15	68083766	68258856
ENSMUSG00000065760	Gm23848	15	49538195	49538300
ENSMUSG00000060429	Sntb1	15	55638843	55906949
ENSMUSG00000025370	Cdh9	15	16778101	16857094
ENSMUSG00000022335	Zfat	15	68083766	68258856
ENSMUSG00000039828	Wdr70	15	7873055	8099209
ENSMUSG00000102069	1700012I11Rik	15	67226769	67377094
ENSMUSG00000044021	Muc19	15	91838326	91934555
ENSMUSG00000054277	Arfgap3	15	83299740	83350247
ENSMUSG00000005360	Slc1a3	15	8634124	8710764
ENSMUSG00000022311	Csmd3	15	47580637	48792063
ENSMUSG00000058655	Eif4b	15	102073773	102097172
ENSMUSG00000023015	Racgap1	15	99620496	99651656
ENSMUSG00000022295	Atp6v1c1	15	38661904	38692443
ENSMUSG00000051359	Ncald	15	37366175	37792570
ENSMUSG00000095422	Gm24415	15	90054409	90054515
ENSMUSG00000022454	Nell2	15	95219451	95528706
ENSMUSG00000022371	Col14a1	15	55307750	55520803
ENSMUSG00000092639	Mir3964	15	29713331	29713404
ENSMUSG00000063142	Kcnma1	14	23289431	24004859
ENSMUSG00000022210	Dhrs4	14	55478758	55490338
ENSMUSG00000102763	Gm37257	14	46044460	46061149
ENSMUSG00000033083	Tbc1d4	14	101442360	101609191
ENSMUSG00000048337	Npy4r	14	34143992	34152489
ENSMUSG00000055639	Dach1	14	97786853	98169765
ENSMUSG00000053821	Gm9922	14	101729380	101729814
ENSMUSG00000091116	Gm7991	14	42067059	42070137
ENSMUSG00000021936	Mapk8	14	33377898	33447158
ENSMUSG00000072714	Rpl21-ps4	14	11227552	11227992
ENSMUSG00000098059	Gm27034	14	98714813	98715752
ENSMUSG00000021782	Dlg5	14	24133953	24245920
ENSMUSG00000092272	Gm19301	14	78070717	78090786
ENSMUSG00000102164	Gm36946	14	89351025	89351459
ENSMUSG00000093966	Trav4-3	14	53598828	53599410
ENSMUSG00000040040	Ift88	14	57424062	57517936
ENSMUSG00000098682	Otx2os1	14	48669288	48793348
ENSMUSG00000021779	Thrb	14	17660960	18038088
ENSMUSG00000101261	1700109I08Rik	14	39655663	39685293
ENSMUSG00000021933	Gucy1b2	14	62392676	62456289
ENSMUSG00000094441	Zfp955a	17	33241519	33255040
ENSMUSG00000007035	Msh5	17	35028605	35046745
ENSMUSG00000079311	Gm3222	17	14709066	14710055
ENSMUSG00000063239	Grm4	17	27422387	27513341
ENSMUSG00000064043	Trerf1	17	47140875	47361958
ENSMUSG00000024135	Srbd1	17	85984665	86145175
ENSMUSG00000094024	Esp18	17	39406359	39410992
ENSMUSG00000037196	Pacrg	17	10403012	10840311
ENSMUSG00000056515	Rab31	17	65651726	65772752
ENSMUSG00000025431	Crisp1	17	40293758	40319207
ENSMUSG00000091076	Vmn2r115	17	23343977	23360128
ENSMUSG00000023952	Gtpbp2	17	46161032	46169370
ENSMUSG00000096697	Esp23	17	39073691	39077037
ENSMUSG00000033278	Ptprm	17	66666848	67354459
ENSMUSG00000039770	Ypel5	17	72836704	72851195
ENSMUSG00000039153	Runx2	17	44495987	44814797
ENSMUSG00000040490	Lrfn2	17	48932379	49097588
ENSMUSG00000091058	Gm17538	17	77674376	77674702
ENSMUSG00000023932	Cdc5l	17	45391892	45433707
ENSMUSG00000023959	Clic5	17	44188572	44280168
