gene_id	gene_name	chromosome	start	end
ENSMUSG00000085452	4930554G24Rik	11	14072103	14179041
ENSMUSG00000017686	Rhot1	11	80209019	80267907
ENSMUSG00000083548	Gm11514	11	95176813	95177244
ENSMUSG00000081952	Gm12178	11	48289984	48290313
ENSMUSG00000020701	Tmem132e	11	82388900	82446332
ENSMUSG00000099630	1700096J18Rik	11	109346839	109353651
ENSMUSG00000087145	Gm12665	11	24903983	24926058
ENSMUSG00000082459	Gm11988	11	8112363	8114094
ENSMUSG00000082157	Gm12038	11	20847476	20847682
ENSMUSG00000053519	Kcnip1	11	33629339	33993152
ENSMUSG00000020612	Prkar1a	11	109649405	109669656
ENSMUSG00000064588	n-R5s74	11	116326602	116326717
ENSMUSG00000018634	Crhr1	11	104132855	104175523
ENSMUSG00000020315	Sptbn1	11	30099395	30268175
ENSMUSG00000088438	Gm25387	11	27318847	27318978
ENSMUSG00000084856	Gm11528	11	95622660	95629836
ENSMUSG00000087259	2610035D17Rik	11	113043895	113201838
ENSMUSG00000083788	Gm11499	11	92129611	92129932
ENSMUSG00000039230	Tbcd	11	121451949	121617164
ENSMUSG00000102178	Gm37869	11	18436242	18436836
ENSMUSG00000100528	Gm28881	10	65119526	65120367
ENSMUSG00000061983	Rps12	10	23785211	23787195
ENSMUSG00000100528	Gm28881	10	65119526	65120367
ENSMUSG00000036499	Eea1	10	95940663	96045518
ENSMUSG00000045591	Olig3	10	19356560	19358606
ENSMUSG00000019945	1700040L02Rik	10	68430953	68541896
ENSMUSG00000045555	Mettl24	10	40683282	40811083
ENSMUSG00000098409	Gm27410	10	45816747	45816861
ENSMUSG00000069682	Gm10275	10	29698746	29699380
ENSMUSG00000038602	Slc35f1	10	52690533	53111622
ENSMUSG00000103550	Gm38219	10	100795161	100795924
ENSMUSG00000039910	Cited2	10	17723228	17725673
ENSMUSG00000015305	Sash1	10	8722219	8886070
ENSMUSG00000047712	Ust	10	8204753	8518825
ENSMUSG00000020166	Cnot2	10	116485161	116581511
ENSMUSG00000020218	Wif1	10	121033960	121100650
ENSMUSG00000009647	Mcu	10	59446984	59616692
ENSMUSG00000053825	Ppfia2	10	106470310	106933467
ENSMUSG00000047648	Fbxo30	10	11281330	11298052
ENSMUSG00000035864	Syt1	10	108497650	109010982
ENSMUSG00000021699	Pde4d	13	108449948	109953461
ENSMUSG00000069267	Hist1h3b	13	23752267	23752886
ENSMUSG00000038462	Uqcrfs1	13	30540308	30545362
ENSMUSG00000039109	F13a1	13	36867178	37050244
ENSMUSG00000034617	Mtrr	13	68560780	68582121
ENSMUSG00000017756	Slc12a7	13	73763697	73816743
ENSMUSG00000056222	Spock1	13	57421195	57908314
ENSMUSG00000050334	C130071C03Rik	13	83721381	83884194
ENSMUSG00000054728	Phactr1	13	42680623	43138526
ENSMUSG00000074841	Gm6917	13	65894209	65894745
ENSMUSG00000021669	Col4a3bp	13	96542618	96640167
ENSMUSG00000091834	Gm17177	13	3121132	3122980
ENSMUSG00000016477	E2f3	13	29906575	29985668
