gene_id	gene_name	chromosome	start	end
ENSMUSG00000069830	Nlrp1a	11	71092236	71144704
ENSMUSG00000082448	Gm11676	11	111612817	111613306
ENSMUSG00000020434	4921536K21Rik	11	3886088	3895098
ENSMUSG00000002812	Flii	11	60714123	60727263
ENSMUSG00000017210	Med24	11	98704591	98729435
ENSMUSG00000018849	Wwc1	11	35838400	35980527
ENSMUSG00000020152	Actr2	11	20062304	20112913
ENSMUSG00000080872	Gm11506	11	93695082	93695551
ENSMUSG00000080735	Gm12075	11	27417990	27418386
ENSMUSG00000081952	Gm12178	11	48289984	48290313
ENSMUSG00000017631	Abr	11	76416734	76622314
ENSMUSG00000049336	Tenm2	11	36006656	37235964
ENSMUSG00000006777	Krt23	11	99477974	99493137
ENSMUSG00000070249	Gm23520	11	38798171	38798277
ENSMUSG00000059439	Bcas3	11	85353167	85826058
ENSMUSG00000034940	Synrg	11	83964428	84044578
ENSMUSG00000061462	Obscn	11	58994256	59136402
ENSMUSG00000043857	Mgat5b	11	116918863	116986948
ENSMUSG00000018846	Pank3	11	35769484	35791285
ENSMUSG00000020903	Stx8	11	67966193	68207148
ENSMUSG00000100681	1700064J06Rik	10	119092905	119103107
ENSMUSG00000037490	Slc2a12	10	22645011	22704285
ENSMUSG00000071303	Rps8-ps1	10	56354619	56355074
ENSMUSG00000058298	Mcm9	10	53536329	53630439
ENSMUSG00000037747	Phyhipl	10	70557682	70655965
ENSMUSG00000009093	Gstt4	10	75814943	75822543
ENSMUSG00000077642	Gm24984	10	72527550	72527682
ENSMUSG00000069601	Ank3	10	69533772	70027438
ENSMUSG00000060843	Ctnna3	10	63430098	65003667
ENSMUSG00000009647	Mcu	10	59446984	59616692
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000038602	Slc35f1	10	52690533	53111622
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000020218	Wif1	10	121033960	121100650
ENSMUSG00000053684	BC048403	10	121739937	121752878
ENSMUSG00000019842	Traf3ip2	10	39612934	39655307
ENSMUSG00000020056	Ccdc53	10	88201093	88246158
ENSMUSG00000043800	Kifc5c-ps	10	117594353	117595882
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000050663	Trhde	10	114398823	114802307
ENSMUSG00000042082	Arsb	13	93771679	93943016
ENSMUSG00000038212	Hiatl1	13	65064663	65112982
ENSMUSG00000103605	Gm38206	13	39249477	39249839
ENSMUSG00000034751	Mast4	13	102732486	103334497
ENSMUSG00000101416	Gm29318	13	79285712	79298242
ENSMUSG00000088923	Gm24295	13	82050751	82050881
ENSMUSG00000054728	Phactr1	13	42680623	43138526
ENSMUSG00000099774	Gm29341	13	101605618	101606233
ENSMUSG00000046169	Adamts6	13	104287873	104494763
ENSMUSG00000038518	Jarid2	13	44729474	44921643
ENSMUSG00000055194	Actbl2	13	111255013	111257749
ENSMUSG00000091834	Gm17177	13	3121132	3122980
ENSMUSG00000076958	Gm24935	13	87456778	87456887
ENSMUSG00000082433	Gm9025	13	111882393	111884177
ENSMUSG00000057726	Serpinb9g	13	33484790	33495998
ENSMUSG00000021730	Hcn1	13	117602480	117976802
ENSMUSG00000085936	2610307P16Rik	13	28460034	28885620
ENSMUSG00000039219	Arid4b	13	14063232	14199603
ENSMUSG00000021699	Pde4d	13	108449948	109953461
ENSMUSG00000048978	Nrsn1	13	25252040	25270502
ENSMUSG00000088441	Gm25599	12	65530252	65530354
ENSMUSG00000089583	Gm23342	12	29035180	29035294
ENSMUSG00000021198	Unc79	12	102948859	103184065
ENSMUSG00000047014	Catsperb	12	101404673	101626009
ENSMUSG00000004698	Hdac9	12	34371503	34528889
ENSMUSG00000043061	Tmem18	12	30584443	30591213
ENSMUSG00000034145	Tmem63c	12	87021340	87090043
ENSMUSG00000097494	4933406C10Rik	12	32919384	32953789
ENSMUSG00000042700	Sipa1l1	12	82170016	82451782
ENSMUSG00000047446	Arl4a	12	40005447	40038025
ENSMUSG00000002688	Prkd1	12	50341231	50649223
ENSMUSG00000047414	Flrt2	12	95692226	95785215
ENSMUSG00000054204	Fam150b	12	30884322	30893854
ENSMUSG00000090699	Gm9071	12	3023883	3025753
ENSMUSG00000049792	Bag5	12	111709488	111713257
ENSMUSG00000075760	Gm25414	12	14506587	14506693
ENSMUSG00000086022	Rad51ap2	12	11456079	11462928
ENSMUSG00000059114	Lrrc74a	12	86734383	86763795
ENSMUSG00000043060	Fscb	12	64471333	64474898
ENSMUSG00000021007	Spata7	12	98628157	98669815
ENSMUSG00000065812	Gm24696	15	61357871	61358004
ENSMUSG00000068227	Il2rb	15	78480553	78495066
ENSMUSG00000040420	Cdh18	15	22549022	23474418
ENSMUSG00000022587	Ly6e	15	74955051	74959905
ENSMUSG00000022329	Stk3	15	34875496	35155806
ENSMUSG00000022312	Eif3h	15	51786558	51865481
ENSMUSG00000037646	Vps13b	15	35371546	35931228
ENSMUSG00000022150	Dab2	15	6299788	6440712
