gene_id	gene_name	chromosome	start	end
ENSMUSG00000053930	Shisa6	11	66211725	66525964
ENSMUSG00000081695	Rpsa-ps5	11	28956724	28957608
ENSMUSG00000020524	Gria1	11	57011387	57330244
ENSMUSG00000101841	Gm11993	11	9149778	9150597
ENSMUSG00000020354	Sgcd	11	46896253	47988969
ENSMUSG00000020903	Stx8	11	67966193	68207148
ENSMUSG00000020859	Spag9	11	93996091	94126085
ENSMUSG00000020902	Ntn1	11	68209364	68400823
ENSMUSG00000042363	Lgalsl	11	20823576	20831056
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000086826	Gm11739	11	116466319	116474274
ENSMUSG00000059439	Bcas3	11	85353167	85826058
ENSMUSG00000005417	Mprip	11	59661305	59780860
ENSMUSG00000086020	Gm12239	11	55772088	56070848
ENSMUSG00000081666	Gm11677	11	111724648	111725624
ENSMUSG00000005949	Ctns	11	73183596	73199042
ENSMUSG00000083806	Gm12131	11	39727070	39727712
ENSMUSG00000011254	Thg1l	11	45946843	45955494
ENSMUSG00000084055	Gm12004	11	12997666	12998383
ENSMUSG00000070249	Gm23520	11	38798171	38798277
ENSMUSG00000069601	Ank3	10	69533772	70027438
ENSMUSG00000034813	Grip1	10	119454034	120087261
ENSMUSG00000097742	Gm26535	10	37337486	37379652
ENSMUSG00000020151	Ptprr	10	116018213	116274932
ENSMUSG00000019883	Echdc1	10	29313166	29346661
ENSMUSG00000000296	Tpd52l1	10	31332380	31445921
ENSMUSG00000020009	Ifngr1	10	19591949	19610229
ENSMUSG00000019850	Tnfaip3	10	19000910	19015657
ENSMUSG00000039697	Ncoa7	10	30645584	30803107
ENSMUSG00000001785	Pwp1	10	85871831	85889096
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000058589	Anks1b	10	89873509	90973300
ENSMUSG00000064208	Gm10145	10	27936364	27936828
ENSMUSG00000045591	Olig3	10	19356560	19358606
ENSMUSG00000056073	Grik2	10	49099460	49788766
ENSMUSG00000098679	Mir7688	10	93433107	93433162
ENSMUSG00000000766	Oprm1	10	6758506	7038198
ENSMUSG00000097742	Gm26535	10	37337486	37379652
ENSMUSG00000092048	Vmn2r85	10	130417772	130429612
ENSMUSG00000019828	Grm1	10	10686059	11082356
ENSMUSG00000042426	Dhx29	13	112927730	112969431
ENSMUSG00000078942	Naip6	13	100281121	100317674
ENSMUSG00000021591	Glrx	13	75839868	75850151
ENSMUSG00000038651	Sycp2l	13	41114307	41171684
ENSMUSG00000041236	Vps41	13	18717292	18866809
ENSMUSG00000087643	Gm11314	13	22772656	22773471
ENSMUSG00000074870	Cts3	13	61564631	61570127
ENSMUSG00000085936	2610307P16Rik	13	28460034	28885620
ENSMUSG00000089815	Gm5083	13	44121167	44125179
ENSMUSG00000041112	Elmo1	13	20090596	20606528
ENSMUSG00000097659	Gm26715	13	66349396	66365772
ENSMUSG00000096932	5033403F01Rik	13	38960619	38966299
ENSMUSG00000035834	Polr3g	13	81673843	81711013
ENSMUSG00000052087	Rgs14	13	55369732	55384687
ENSMUSG00000097009	Gm26861	13	10359479	10658893
ENSMUSG00000021704	Mtx3	13	92844787	92858230
ENSMUSG00000039114	Nrn1	13	36725625	36734477
ENSMUSG00000038732	Mboat1	13	30136498	30246717
ENSMUSG00000044734	Serpinb1a	13	32842092	32851185
ENSMUSG00000038518	Jarid2	13	44729474	44921643
ENSMUSG00000071454	Dtnb	12	3572381	3781796
ENSMUSG00000065303	Gm23249	12	93746502	93746662
ENSMUSG00000092465	Gm20472	12	23221227	23315358
ENSMUSG00000097494	4933406C10Rik	12	32919384	32953789
ENSMUSG00000079036	Alkbh1	12	87425840	87444017
ENSMUSG00000036095	Dgkb	12	37880705	38633410
ENSMUSG00000020622	Nt5c1b	12	10369973	10390173
ENSMUSG00000075893	Gm25538	12	12700039	12700145
ENSMUSG00000090699	Gm9071	12	3023883	3025753
ENSMUSG00000054204	Fam150b	12	30884322	30893854
ENSMUSG00000064800	Gm24948	12	45984343	45984549
ENSMUSG00000047414	Flrt2	12	95692226	95785215
ENSMUSG00000020642	Rnf144a	12	26306797	26415256
ENSMUSG00000086319	Gm16087	12	106953812	106955928
ENSMUSG00000065244	Gm22296	12	55910821	55910923
ENSMUSG00000021115	Vrk1	12	106010263	106077410
ENSMUSG00000090699	Gm9071	12	3023883	3025753
ENSMUSG00000066392	Nrxn3	12	88722876	90334935
ENSMUSG00000084463	Gm22959	12	71724652	71724954
ENSMUSG00000089603	Gm23059	12	60735498	60735604
ENSMUSG00000097989	Gm4335	15	93196595	93197598
ENSMUSG00000087760	Gm23980	15	23646420	23646577
ENSMUSG00000047938	4930483J18Rik	15	81190774	81192763
ENSMUSG00000047921	Trappc9	15	72589621	73061204
ENSMUSG00000064373	Sepp1	15	3268547	3280508
ENSMUSG00000018008	Cyth4	15	78597047	78622019
ENSMUSG00000054117	Zdhhc25	15	88600302	88601669
ENSMUSG00000056069	Fam105a	15	27655071	27681542
ENSMUSG00000045665	Mfsd5	15	102279456	102281744
ENSMUSG00000022324	Matn2	15	34306680	34436242
ENSMUSG00000022231	Sema5a	15	32244813	32696341
ENSMUSG00000092639	Mir3964	15	29713331	29713404
ENSMUSG00000049653	Spatc1	15	76268089	76292572
ENSMUSG00000049152	Ugt3a2	15	9335550	9370955
ENSMUSG00000095638	Gm8888	15	96766761	96767141
ENSMUSG00000025370	Cdh9	15	16778101	16857094
ENSMUSG00000079022	Col22a1	15	71795795	72034227
ENSMUSG00000080689	Gm23987	15	69685578	69685706
ENSMUSG00000037570	Mcrs1	15	99242818	99251961
ENSMUSG00000080689	Gm23987	15	69685578	69685706
ENSMUSG00000096463	Gm21750	14	73661225	73662721
ENSMUSG00000021733	Slc4a7	14	14703025	14799943
ENSMUSG00000077201	Gm25614	14	58650268	58650400
ENSMUSG00000053465	Hs6st3	14	119138415	119869594
ENSMUSG00000064407	Gm23926	14	86311289	86311378
ENSMUSG00000050505	Pcdh20	14	88464743	88471396
ENSMUSG00000022111	Uchl3	14	101653967	101696124
ENSMUSG00000090487	Gm2888	14	3030002	3038762
ENSMUSG00000022112	Gpc5	14	115092215	116525179
ENSMUSG00000060680	Gm8894	14	55420269	55420724
ENSMUSG00000063458	1700112E06Rik	14	22019712	23056085
ENSMUSG00000088714	Gm22726	14	40318072	40318250
ENSMUSG00000021994	Wnt5a	14	28504750	28527447
ENSMUSG00000088009	Gm24774	14	83405631	83405764
ENSMUSG00000088405	Gm25886	14	89393076	89393189
ENSMUSG00000089455	Gm24229	14	108622543	108622660
ENSMUSG00000041014	Nrg3	14	38368952	39473088
ENSMUSG00000089384	Gm24680	14	94929701	94929826
ENSMUSG00000089130	Gm24770	14	96945019	96945110
ENSMUSG00000041078	Grid1	14	34819825	35583379
ENSMUSG00000092284	Gm8801	17	35947246	35952297
ENSMUSG00000023852	Chd1	17	15704967	17394898
ENSMUSG00000023852	Chd1	17	15704967	17394898
ENSMUSG00000024064	Galnt14	17	73493228	73710453
ENSMUSG00000024172	St6gal2	17	55445382	55514581
ENSMUSG00000024246	Thumpd2	17	81026327	81065085
ENSMUSG00000079557	March2	17	33685692	33718670
ENSMUSG00000098984	Mir6420	17	64440806	64440907
ENSMUSG00000024256	Adcyap1	17	93199422	93205485
ENSMUSG00000023852	Chd1	17	15704967	17394898
ENSMUSG00000087425	Gm15404	17	91557127	91591927
ENSMUSG00000054469	Lclat1	17	73107985	73243368
ENSMUSG00000023806	Rsph3b	17	6904716	6948356
ENSMUSG00000094752	Vmn2r-ps129	17	22992706	23008970
ENSMUSG00000054901	Arhgef33	17	80307407	80388688
ENSMUSG00000095869	Ppp1r2-ps6	17	6253903	6254523
ENSMUSG00000077433	Gm22593	17	94328755	94328863
ENSMUSG00000023942	Slc29a1	17	45585200	45599606
ENSMUSG00000091058	Gm17538	17	77674376	77674702
ENSMUSG00000033278	Ptprm	17	66666848	67354459
ENSMUSG00000022687	Boc	16	44485045	44558897
ENSMUSG00000032948	Lipi	16	75540514	75586061
ENSMUSG00000052133	Sema5b	16	35541145	35664732
ENSMUSG00000022523	Fgf12	16	28160120	28445227
ENSMUSG00000047109	Cldn14	16	93919031	94008837
ENSMUSG00000022892	App	16	84954440	85173707
ENSMUSG00000022677	Fopnl	16	14299244	14317375
ENSMUSG00000061751	Kalrn	16	33974258	34573532
ENSMUSG00000035629	1700021K19Rik	16	32821703	32877766
ENSMUSG00000068167	Csnka2ip	16	64477813	64479148
ENSMUSG00000089178	Gm22429	16	65170041	65170170
ENSMUSG00000050239	Krtap24-1	16	88610709	88612279
ENSMUSG00000086550	Pla2g10os	16	13729836	13737580
ENSMUSG00000090448	Gm17192	16	61460962	61461472
ENSMUSG00000068674	Gm10247	16	8922057	8922389
ENSMUSG00000022639	5330426P16Rik	16	50719294	50732773
ENSMUSG00000022762	Ncam2	16	81200697	81624285
ENSMUSG00000077718	Gm25723	16	52946804	52946929
ENSMUSG00000052459	Atp6v1a	16	44085402	44139705
ENSMUSG00000076360	Gm24047	16	56070563	56070666
ENSMUSG00000096320	Olfr1471	19	13445014	13445958
ENSMUSG00000098074	Gm26993	19	14017583	14018371
ENSMUSG00000054827	Cyp2c50	19	40089688	40113950
ENSMUSG00000025085	Ablim1	19	57032733	57314919
ENSMUSG00000098105	Gm8825	19	25795810	25796807
ENSMUSG00000090965	Gm17203	19	59896241	59901062
ENSMUSG00000041360	D19Bwg1357e	19	27388702	27429820
ENSMUSG00000074852	Hpse2	19	42788947	43388311
ENSMUSG00000024642	Tle4	19	14448072	14598051
ENSMUSG00000036961	Wnt8b	19	44493472	44514273
ENSMUSG00000056917	Sipa1	19	5651185	5663707
ENSMUSG00000024665	Fads2	19	10064164	10101503
ENSMUSG00000088907	Gm25437	19	19275899	19276030
ENSMUSG00000024749	Tmc1	19	20783458	20954202
ENSMUSG00000052920	Prkg1	19	30567551	31765033
ENSMUSG00000074852	Hpse2	19	42788947	43388311
ENSMUSG00000025017	Pik3ap1	19	41274218	41385070
ENSMUSG00000067656	Slc22a27	19	7864388	7966027
ENSMUSG00000052920	Prkg1	19	30567551	31765033
ENSMUSG00000025013	Tll2	19	41083981	41206774
ENSMUSG00000091539	Vmn1r238	18	3122492	3123412
ENSMUSG00000073563	Csnk1g3	18	53862113	53955684
ENSMUSG00000050875	A730017C20Rik	18	59062248	59076962
ENSMUSG00000060534	Dcc	18	71258738	72351069
ENSMUSG00000093274	Gm26235	18	18099560	18099660
ENSMUSG00000026322	Htr4	18	62324204	62467802
ENSMUSG00000069324	Gm5096	18	87756286	87758143
ENSMUSG00000100430	1700095A13Rik	18	83106528	83107860
ENSMUSG00000048410	Zfp407	18	84128027	84589725
ENSMUSG00000087960	Gm25392	18	19707093	19707389
ENSMUSG00000073551	Spink13	18	62607539	62741387
ENSMUSG00000056214	Pard6g	18	80046895	80119640
ENSMUSG00000047161	Chst9	18	15451924	15760157
ENSMUSG00000045215	Asxl3	18	22344883	22530227
ENSMUSG00000093774	Vmn1r-ps151	18	3026901	3027882
ENSMUSG00000073555	Gm4951	18	60212080	60247820
ENSMUSG00000059040	Eno1b	18	48045335	48048378
ENSMUSG00000024268	Celf4	18	25477632	25753983
ENSMUSG00000071856	Mcc	18	44425061	44812182
ENSMUSG00000045569	Mc2r	18	68406907	68429251
ENSMUSG00000079450	3110007F17Rik	X	123103495	123188795
ENSMUSG00000031299	Pdha1	X	160122209	160138413
ENSMUSG00000031112	Stk26	X	50841047	50893097
ENSMUSG00000083439	Gm14491	X	11913091	11913289
ENSMUSG00000083484	Gm14574	X	40691785	40692063
ENSMUSG00000086244	4930558G05Rik	X	129064297	129067146
ENSMUSG00000084022	Gm16459	X	162844838	162845523
ENSMUSG00000084363	Gm2288	X	34872455	34893495
ENSMUSG00000094196	Magea3	X	154948543	154949505
ENSMUSG00000015668	Pdzd11	X	100622883	100626568
ENSMUSG00000060090	Rp2h	X	20364481	20405653
ENSMUSG00000083999	Gm7790	X	131172439	131173748
ENSMUSG00000081089	Gm14624	X	55904723	55912887
