gene_id	gene_name	chromosome	start	end
ENSMUSG00000020780	Srp68	11	116245166	116274217
ENSMUSG00000034621	Gpatch8	11	102475915	102556392
ENSMUSG00000049336	Tenm2	11	36006656	37235964
ENSMUSG00000018593	Sparc	11	55394500	55420080
ENSMUSG00000020844	Nxn	11	76257198	76399140
ENSMUSG00000000631	Myo18a	11	77763246	77865980
ENSMUSG00000020695	Mrc2	11	105292643	105351139
ENSMUSG00000097117	Gm26730	11	116306864	116309510
ENSMUSG00000049336	Tenm2	11	36006656	37235964
ENSMUSG00000020524	Gria1	11	57011387	57330244
ENSMUSG00000020290	Xpo1	11	23256041	23298249
ENSMUSG00000088228	Gm22603	11	56482949	56483044
ENSMUSG00000020340	Cyfip2	11	46193850	46312859
ENSMUSG00000001027	Scn4a	11	106318592	106353288
ENSMUSG00000038290	Smg6	11	74925823	75164448
ENSMUSG00000051497	Kcnj16	11	110968033	111027968
ENSMUSG00000040365	Trim41	11	48806404	48817353
ENSMUSG00000017400	Stac2	11	98036623	98053462
ENSMUSG00000020332	Meikin	11	54370652	54426790
ENSMUSG00000020311	Erlec1	11	30930774	30954335
ENSMUSG00000035189	Ano4	10	88948994	89344762
ENSMUSG00000019966	Kitl	10	100015630	100100413
ENSMUSG00000035694	Caps2	10	112163621	112216555
ENSMUSG00000047712	Ust	10	8204753	8518825
ENSMUSG00000060843	Ctnna3	10	63430098	65003667
ENSMUSG00000091779	Gm6763	10	104142987	104153674
ENSMUSG00000060733	Ipmk	10	71347763	71433327
ENSMUSG00000058806	Col13a1	10	61838236	61979108
ENSMUSG00000032788	Pdxk	10	78436744	78464975
ENSMUSG00000087723	Gm26278	10	101544177	101544308
ENSMUSG00000097082	4933440J02Rik	10	111586719	111594273
ENSMUSG00000077315	Gm24172	10	69132882	69132998
ENSMUSG00000098679	Mir7688	10	93433107	93433162
ENSMUSG00000028630	Dyrk2	10	118859349	118868903
ENSMUSG00000037151	Lrrc20	10	61475833	61582226
ENSMUSG00000019943	Atp2b1	10	98915152	99026143
ENSMUSG00000044475	Ascc1	10	60002805	60099990
ENSMUSG00000098162	Gm26976	10	118892911	118893818
ENSMUSG00000101969	Gm20125	10	16951294	17095782
ENSMUSG00000038587	Akap12	10	4266329	4359468
ENSMUSG00000039087	Rreb1	13	37778400	37952002
ENSMUSG00000021721	Htr1a	13	105443693	105448133
ENSMUSG00000091053	Gm9742	13	8029828	8038106
ENSMUSG00000038372	Gmds	13	31819579	32338712
ENSMUSG00000021730	Hcn1	13	117602480	117976802
ENSMUSG00000045273	Cenph	13	100759674	100775899
ENSMUSG00000094597	Gm4810	13	64509723	64511099
ENSMUSG00000077594	Gm26018	13	70168832	70168959
ENSMUSG00000039219	Arid4b	13	14063232	14199603
ENSMUSG00000021591	Glrx	13	75839868	75850151
ENSMUSG00000021701	Plk2	13	110395044	110400844
ENSMUSG00000038212	Hiatl1	13	65064663	65112982
ENSMUSG00000021427	Ssr1	13	37971401	37994190
ENSMUSG00000021327	Zkscan3	13	21387013	21402755
ENSMUSG00000051111	Sv2c	13	95954594	96132577
ENSMUSG00000052551	Adarb2	13	8202866	8768747
ENSMUSG00000038372	Gmds	13	31819579	32338712
ENSMUSG00000106655	mmu-mir-3961	13	82698275	82698333
ENSMUSG00000050244	Heatr1	13	12395398	12438677
ENSMUSG00000046159	Chrm3	13	9875486	10360844
ENSMUSG00000057963	Itpk1	12	102568582	102704930
ENSMUSG00000021290	2010107E04Rik	12	111961376	111966977
ENSMUSG00000014905	Dnajb9	12	44205897	44210068
ENSMUSG00000002688	Prkd1	12	50341231	50649223
ENSMUSG00000051166	Eml5	12	98786604	98901484
ENSMUSG00000073233	Gm9144	12	7859827	7861205
ENSMUSG00000085801	1700013N06Rik	12	106837982	106878841
ENSMUSG00000020576	Nbas	12	13269127	13583810
ENSMUSG00000096529	Gm3993	12	20071882	20072217
ENSMUSG00000034912	Mdga2	12	66469568	67222549
ENSMUSG00000094691	Gm22908	12	22040913	22041022
ENSMUSG00000077750	Gm23529	12	33452712	33452843
ENSMUSG00000021095	Gsc	12	104471209	104473330
ENSMUSG00000020580	Rock2	12	16894978	16988274
ENSMUSG00000094002	Gm9866	12	27140796	27160633
ENSMUSG00000094002	Gm9866	12	27140796	27160633
ENSMUSG00000094947	Gm3944	12	18853872	18854207
ENSMUSG00000089603	Gm23059	12	60735498	60735604
ENSMUSG00000066392	Nrxn3	12	88722876	90334935
ENSMUSG00000052609	Plekhg3	12	76533560	76579039
ENSMUSG00000037487	Ubr5	15	37967328	38078853
ENSMUSG00000009585	Apobec3	15	79891659	79915906
ENSMUSG00000037386	Rims2	15	39198332	39681940
ENSMUSG00000005716	Pvalb	15	78191114	78206400
ENSMUSG00000022443	Myh9	15	77760587	77842175
ENSMUSG00000025370	Cdh9	15	16778101	16857094
ENSMUSG00000022240	Ctnnd2	15	30172593	31029311
ENSMUSG00000089320	Gm25976	15	20184832	20184961
ENSMUSG00000058656	Samd12	15	53461621	53902537
ENSMUSG00000022617	Chkb	15	89416405	89429908
ENSMUSG00000064373	Sepp1	15	3268547	3280508
ENSMUSG00000000531	Grasp	15	101224207	101232755
ENSMUSG00000022261	Sdc2	15	32920723	33034730
ENSMUSG00000053469	Tg	15	66670753	66850721
ENSMUSG00000022272	Myo10	15	25622525	25813673
ENSMUSG00000093261	Gm23416	15	87068993	87069087
ENSMUSG00000039385	Cdh6	15	13034200	13173639
ENSMUSG00000097989	Gm4335	15	93196595	93197598
ENSMUSG00000022307	Oxr1	15	41447482	41861048
ENSMUSG00000092643	Gm23562	15	46434808	46434869
ENSMUSG00000088746	Gm23225	14	91108179	91108292
ENSMUSG00000025551	Fgf14	14	123977907	124677127
ENSMUSG00000060579	Fhit	14	9550092	11162035
