gene_id	gene_name	chromosome	start	end
ENSMUSG00000020623	Map2k6	11	110399122	110525522
ENSMUSG00000061718	Ppp1r1b	11	98348404	98357796
ENSMUSG00000009900	Wnt3a	11	59248033	59290752
ENSMUSG00000044072	Eml6	11	29743048	30026033
ENSMUSG00000047759	Hs3st3a1	11	64435332	64522841
ENSMUSG00000020453	Patz1	11	3288874	3309083
ENSMUSG00000073063	Hbq1b	11	32286965	32287784
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000078257	2300003K06Rik	11	99836802	99838066
ENSMUSG00000020723	Cacng4	11	107732357	107794557
ENSMUSG00000087581	Gm11571	11	100052286	100085983
ENSMUSG00000082286	Pisd-ps1	11	3125904	3131004
ENSMUSG00000020346	Mgat1	11	49244191	49263030
ENSMUSG00000046755	Kif2b	11	91575315	91577558
ENSMUSG00000086760	1700025D23Rik	11	114091406	114095336
ENSMUSG00000085940	4930405D11Rik	11	90804692	90895149
ENSMUSG00000081630	Gm11498	11	91830442	91831390
ENSMUSG00000057098	Ebf1	11	44617317	45008091
ENSMUSG00000009900	Wnt3a	11	59248033	59290752
ENSMUSG00000046909	Tefm	11	80136678	80142175
ENSMUSG00000040462	Os9	10	127094259	127121160
ENSMUSG00000025400	Tac2	10	127724478	127731767
ENSMUSG00000069670	Nkain2	10	31689310	32890462
ENSMUSG00000069682	Gm10275	10	29698746	29699380
ENSMUSG00000035948	Acss3	10	106936164	107123668
ENSMUSG00000063804	Lin28b	10	45376620	45470201
ENSMUSG00000088987	Gm25602	10	54712976	54713037
ENSMUSG00000038594	Cep85l	10	53278081	53379851
ENSMUSG00000094738	Gm26177	10	54311225	54311331
ENSMUSG00000097742	Gm26535	10	37337486	37379652
ENSMUSG00000035694	Caps2	10	112163621	112216555
ENSMUSG00000045555	Mettl24	10	40683282	40811083
ENSMUSG00000071434	9230019H11Rik	10	3119841	3129546
ENSMUSG00000038122	Tbc1d32	10	56014298	56228689
ENSMUSG00000039480	Nt5dc1	10	34288288	34418552
ENSMUSG00000074781	Ube2n	10	95515162	95545658
ENSMUSG00000019889	Ptprk	10	28074820	28597397
ENSMUSG00000075225	Ccdc162	10	41538846	41709300
ENSMUSG00000095826	Gm9002	10	117429618	117430116
ENSMUSG00000015755	Tab2	10	7905653	7956230
ENSMUSG00000098152	Gm27025	13	86235827	86237727
ENSMUSG00000041112	Elmo1	13	20090596	20606528
ENSMUSG00000050334	C130071C03Rik	13	83721381	83884194
ENSMUSG00000044164	Rnf182	13	43615710	43670945
ENSMUSG00000078302	Foxd1	13	98354242	98356703
ENSMUSG00000097059	Fam120aos	13	48968287	48972031
ENSMUSG00000060969	Irx1	13	71957921	71963723
ENSMUSG00000091053	Gm9742	13	8029828	8038106
ENSMUSG00000076407	Gm22689	13	7120394	7120503
ENSMUSG00000088435	Gm25383	13	79161719	79161862
ENSMUSG00000021669	Col4a3bp	13	96542618	96640167
ENSMUSG00000042348	Arl15	13	113794505	114157461
ENSMUSG00000105830	Trgj2	13	19311245	19311304
ENSMUSG00000021474	Sfxn1	13	54071845	54108346
ENSMUSG00000095255	Gm23086	13	42624994	42625084
ENSMUSG00000021600	8030423J24Rik	13	70882948	70884503
ENSMUSG00000021373	Cap2	13	46501848	46649642
ENSMUSG00000021613	Hapln1	13	89540636	89611832
ENSMUSG00000074886	Grk6	13	55445334	55460925
ENSMUSG00000016477	E2f3	13	29906575	29985668
ENSMUSG00000036095	Dgkb	12	37880705	38633410
ENSMUSG00000021275	Tecpr2	12	110889264	110972394
ENSMUSG00000101696	Gm28056	12	79963568	79963872
ENSMUSG00000020590	Snx13	12	35047189	35147469
ENSMUSG00000060499	Rpl10l	12	66283379	66284401
ENSMUSG00000096618	Gm9286	12	23439288	23484992
ENSMUSG00000021130	Galnt16	12	80518990	80603896
ENSMUSG00000077269	Gm24434	12	39621415	39621546
ENSMUSG00000021070	Bdkrb2	12	105563172	105593071
ENSMUSG00000020646	Mboat2	12	24831599	24960301
ENSMUSG00000050974	Gm9847	12	14494561	14495157
ENSMUSG00000077204	Gm25610	12	12013623	12013751
ENSMUSG00000033530	Ttc7b	12	100300771	100520822
ENSMUSG00000037669	1110057K04Rik	12	8208107	8285758
ENSMUSG00000020661	Dnmt3a	12	3806007	3914443
ENSMUSG00000058260	Serpina9	12	103994743	104013755
ENSMUSG00000064972	Gm26055	12	95378845	95378951
ENSMUSG00000033713	Foxn3	12	99194980	99450111
ENSMUSG00000041992	Rapgef5	12	117516479	117756978
ENSMUSG00000018581	Dnah11	12	117877982	118199043
ENSMUSG00000038679	Trps1	15	50654752	50890463
ENSMUSG00000037386	Rims2	15	39198332	39681940
ENSMUSG00000033047	Eif3l	15	79075223	79094400
ENSMUSG00000022240	Ctnnd2	15	30172593	31029311
ENSMUSG00000093261	Gm23416	15	87068993	87069087
ENSMUSG00000036273	Lrrk2	15	91673175	91816120
ENSMUSG00000022262	Dnah5	15	28203752	28472045
ENSMUSG00000097039	Pvt1	15	62037986	62378096
ENSMUSG00000022382	Wnt7b	15	85535439	85581821
ENSMUSG00000080689	Gm23987	15	69685578	69685706
ENSMUSG00000077502	Gm24232	15	69451015	69451146
ENSMUSG00000061731	Ext1	15	53064038	53346159
ENSMUSG00000040452	Cdh12	15	21111452	21589533
ENSMUSG00000022377	Asap1	15	64086857	64382919
ENSMUSG00000040420	Cdh18	15	22549022	23474418
ENSMUSG00000038725	Pkhd1l1	15	44457553	44597143
ENSMUSG00000037386	Rims2	15	39198332	39681940
ENSMUSG00000089320	Gm25976	15	20184832	20184961
ENSMUSG00000022141	Nipbl	15	8291225	8444463
ENSMUSG00000097989	Gm4335	15	93196595	93197598
ENSMUSG00000088995	Gm22764	14	111965957	111966048
ENSMUSG00000025278	Flnb	14	7817957	7951588
ENSMUSG00000021745	Ptprg	14	11553532	12242041
ENSMUSG00000096405	4930474N05Rik	14	36094917	36100114
ENSMUSG00000092834	Gm24818	14	108379564	108379724
ENSMUSG00000014496	Ankrd28	14	31700015	31830415
ENSMUSG00000067995	Gtf2f2	14	75896937	76010865
ENSMUSG00000064485	Gm23735	14	72131088	72131221
ENSMUSG00000022019	Tdrd3	14	87416639	87545373
ENSMUSG00000095646	Trav10n	14	53122114	53122610
ENSMUSG00000021738	Atxn7	14	14012491	14107296
ENSMUSG00000021806	Nid2	14	19751257	19811787
ENSMUSG00000075574	Defb48	14	62977524	62984510
ENSMUSG00000021779	Thrb	14	17660960	18038088
ENSMUSG00000033060	Lmo7	14	101729957	101934710
ENSMUSG00000048349	Pou4f1	14	104461676	104467999
ENSMUSG00000089119	Gm25901	14	109883054	109883183
ENSMUSG00000050505	Pcdh20	14	88464743	88471396
ENSMUSG00000062611	Rps3a2	14	88123017	88123808
ENSMUSG00000104187	Gm37820	14	61683510	61685656
ENSMUSG00000073371	Gm6594	17	82539258	82539545
ENSMUSG00000098123	Gm4518	17	61780915	61781632
ENSMUSG00000023923	Tbc1d5	17	50733127	51179349
ENSMUSG00000024143	Rhoq	17	86963082	87000069
ENSMUSG00000078838	Gm17382	17	26860287	26886175
ENSMUSG00000038954	Supt3	17	44777152	45119290
ENSMUSG00000055471	Alk	17	71869442	72603709
ENSMUSG00000053436	Mapk14	17	28691342	28748404
ENSMUSG00000084605	Gm23837	17	17783132	17783417
ENSMUSG00000048915	Efna5	17	62604184	62881317
ENSMUSG00000003279	Dlgap1	17	69969073	70821413
ENSMUSG00000023868	Pde10a	17	8525372	8986648
ENSMUSG00000052469	Tcp10c	17	13354572	13377223
ENSMUSG00000067341	H2-Eb2	17	34325665	34340229
ENSMUSG00000090790	Gm17377	17	55321614	55321820
ENSMUSG00000002017	Fam98a	17	75537086	75551946
ENSMUSG00000034265	Zdhhc14	17	5492600	5753891
ENSMUSG00000068141	Gm10232	17	3044014	3044733
ENSMUSG00000032796	Lama1	17	67697265	67822645
ENSMUSG00000094921	Vmn2r112	17	22601148	22619133
ENSMUSG00000070173	Gm24164	16	62571036	62571139
ENSMUSG00000089311	Gm23180	16	54628428	54628552
ENSMUSG00000034243	Golgb1	16	36875140	36933085
ENSMUSG00000022537	Tmem44	16	30511855	30550842
ENSMUSG00000051065	Mb21d2	16	28826176	28929698
ENSMUSG00000095122	Gm23215	16	3249584	3249704
ENSMUSG00000081453	Gm6767	16	51362452	51363832
ENSMUSG00000022512	Cldn1	16	26356642	26371841
ENSMUSG00000022637	Cblb	16	52031549	52208047
ENSMUSG00000061080	Lsamp	16	39984361	42181679
ENSMUSG00000062713	Sim2	16	94085260	94127032
ENSMUSG00000061751	Kalrn	16	33974258	34573532
ENSMUSG00000041215	Yeats2	16	20141063	20232573
ENSMUSG00000061080	Lsamp	16	39984361	42181679
ENSMUSG00000068663	Clec16a	16	10545339	10744878
ENSMUSG00000022857	Tmprss15	16	78953008	79091097
ENSMUSG00000022708	Zbtb20	16	42875881	43642602
ENSMUSG00000070173	Gm24164	16	62571036	62571139
ENSMUSG00000023088	Abcc1	16	14361558	14475737
ENSMUSG00000059113	Gm10061	16	89151086	89151550
ENSMUSG00000042372	Dmrt3	19	25610537	25623920
