gene_id	gene_name	chromosome	start	end
ENSMUSG00000040711	Sh3pxd2b	11	32347820	32428173
ENSMUSG00000032740	Ccdc88a	11	29373658	29510808
ENSMUSG00000053580	Tanc2	11	105589986	105929304
ENSMUSG00000083788	Gm11499	11	92129611	92129932
ENSMUSG00000032985	5730522E02Rik	11	25602763	26210763
ENSMUSG00000084129	Hmgb1-ps1	11	41141763	41142396
ENSMUSG00000047773	Ankfn1	11	89420987	89639631
ENSMUSG00000020387	Jade2	11	51813455	51857653
ENSMUSG00000034936	Arl4d	11	101665541	101667832
ENSMUSG00000082338	Gm12327	11	73641786	73645155
ENSMUSG00000034187	Nsf	11	103821782	103954056
ENSMUSG00000080987	Gm12073	11	26856387	26856910
ENSMUSG00000084055	Gm12004	11	12997666	12998383
ENSMUSG00000062186	Olfr395	11	73906552	73907490
ENSMUSG00000039337	Tex19.2	11	121116215	121118677
ENSMUSG00000082181	Gm12252	11	58396297	58396515
ENSMUSG00000087172	Gm12153	11	43959089	44134987
ENSMUSG00000020704	Asic2	11	80880169	81968457
ENSMUSG00000069476	Zfp616	11	74069955	74087292
ENSMUSG00000017639	Rab11fip4	11	79591212	79698023
ENSMUSG00000052681	Rap1b	10	117814471	117845935
ENSMUSG00000019888	Mgat4c	10	101681487	102391469
ENSMUSG00000020064	Herc4	10	63243797	63317881
ENSMUSG00000035459	Stab2	10	86841198	87008025
ENSMUSG00000039879	Heca	10	17900466	17948067
ENSMUSG00000019947	Arid5b	10	68095593	68278726
ENSMUSG00000019854	Reps1	10	18055861	18125155
ENSMUSG00000004359	Spic	10	88674772	88685015
ENSMUSG00000102310	Gm37631	10	98486510	98486873
ENSMUSG00000084865	Gm15723	10	114801726	114816831
ENSMUSG00000097348	Rmst	10	92071037	92165170
ENSMUSG00000105557	mmu-mir-3966	10	97423478	97423562
ENSMUSG00000019806	Aig1	10	13647054	13868980
ENSMUSG00000044071	Fam19a2	10	123264076	123741204
ENSMUSG00000019990	Pde7b	10	20398004	20725078
ENSMUSG00000053980	Gm9930	10	9532531	9535681
ENSMUSG00000052426	Gm9877	10	70285549	70288176
ENSMUSG00000100528	Gm28881	10	65119526	65120367
ENSMUSG00000098756	Mir378d	10	126710282	126710391
ENSMUSG00000105557	mmu-mir-3966	10	97423478	97423562
ENSMUSG00000087140	Gm11376	13	31299628	31396579
ENSMUSG00000021619	Atg10	13	90935349	91223987
ENSMUSG00000034617	Mtrr	13	68560780	68582121
ENSMUSG00000055137	Sugct	13	16857855	17694732
ENSMUSG00000042167	Papd4	13	93147400	93192283
ENSMUSG00000087860	Gm24441	13	103420802	103421082
ENSMUSG00000062201	Prl3d3	13	27156790	27162590
ENSMUSG00000021646	Mccc2	13	99948533	100015639
ENSMUSG00000071181	3830408C21Rik	13	107031963	107033673
ENSMUSG00000045835	Hdgfl1	13	26768173	26770119
ENSMUSG00000054728	Phactr1	13	42680623	43138526
ENSMUSG00000021318	Gli3	13	15463235	15730026
ENSMUSG00000045136	Tubb2b	13	34127008	34130354
ENSMUSG00000021211	Akr1c12	13	4268172	4279433
ENSMUSG00000097009	Gm26861	13	10359479	10658893
ENSMUSG00000095933	Gm25700	13	86725823	86725932
ENSMUSG00000046573	Lyrm4	13	35978797	36117357
ENSMUSG00000025867	Cplx2	13	54371349	54383917
ENSMUSG00000098213	Gm27044	13	88184661	88185456
ENSMUSG00000038014	Fam120a	13	48879219	48968017
ENSMUSG00000020590	Snx13	12	35047189	35147469
ENSMUSG00000098229	Gm7719	12	59291964	59292938
ENSMUSG00000021068	Nin	12	70011435	70111925
ENSMUSG00000097071	4930544I03Rik	12	90753208	90969768
ENSMUSG00000007411	Mark3	12	111574510	111656227
ENSMUSG00000094691	Gm22908	12	22040913	22041022
ENSMUSG00000066392	Nrxn3	12	88722876	90334935
ENSMUSG00000021070	Bdkrb2	12	105563172	105593071
ENSMUSG00000093214	Gm25248	12	42281716	42281813
ENSMUSG00000034258	Mfsd7c	12	85746539	85813585
ENSMUSG00000020657	Dnajc27	12	4082574	4110612
ENSMUSG00000048118	Arid4a	12	71015990	71098592
ENSMUSG00000021065	Fut8	12	77238104	77476338
ENSMUSG00000041992	Rapgef5	12	117516479	117756978
ENSMUSG00000035472	Slc25a21	12	56712634	57197472
ENSMUSG00000088966	Gm22088	12	51085687	51085803
ENSMUSG00000041550	Serpina5	12	104101113	104106137
ENSMUSG00000094935	Gm9726	12	93927004	93929102
ENSMUSG00000011148	Adssl1	12	112620045	112641354
ENSMUSG00000021139	Gm20498	12	81358860	81532905
ENSMUSG00000092919	Gm24080	15	14735053	14735284
ENSMUSG00000088679	Gm23665	15	46944387	46944448
ENSMUSG00000051864	Tbc1d22a	15	86214459	86498503
ENSMUSG00000079105	C7	15	4988762	5063773
ENSMUSG00000048559	4930555K19Rik	15	41173701	41173871
ENSMUSG00000022240	Ctnnd2	15	30172593	31029311
ENSMUSG00000022336	Eif3e	15	43250040	43282736
ENSMUSG00000055022	Cntn1	15	92051165	92341967
ENSMUSG00000100603	1700129L04Rik	15	95097542	95162394
ENSMUSG00000022602	Arc	15	74669083	74672570
ENSMUSG00000033228	Scaf11	15	96411698	96460843
ENSMUSG00000033228	Scaf11	15	96411698	96460843
ENSMUSG00000052560	Cpne8	15	90487482	90679432
ENSMUSG00000033762	Recql4	15	76703553	76710559
ENSMUSG00000022332	Khdrbs3	15	68928420	69093512
ENSMUSG00000038679	Trps1	15	50654752	50890463
ENSMUSG00000022377	Asap1	15	64086857	64382919
ENSMUSG00000052253	Zfp622	15	25984366	25998482
ENSMUSG00000022141	Nipbl	15	8291225	8444463
ENSMUSG00000097536	2610037D02Rik	15	96134819	96284495
ENSMUSG00000091400	Gm6356	14	6965449	6973818
ENSMUSG00000055421	Pcdh9	14	93013410	93890679
ENSMUSG00000062093	Gm10110	14	89896223	89898466
ENSMUSG00000041078	Grid1	14	34819825	35583379
ENSMUSG00000089384	Gm24680	14	94929701	94929826
ENSMUSG00000090487	Gm2888	14	3030002	3038762
ENSMUSG00000089187	Gm22949	14	49573214	49573318
ENSMUSG00000014496	Ankrd28	14	31700015	31830415
ENSMUSG00000084441	Gm26255	14	110732036	110732138
ENSMUSG00000072616	Gm7853	14	36089358	36090816
ENSMUSG00000089266	Gm22891	14	82384366	82384529
ENSMUSG00000021830	Txndc16	14	45134448	45220328
ENSMUSG00000060579	Fhit	14	9550092	11162035
ENSMUSG00000088995	Gm22764	14	111965957	111966048
ENSMUSG00000041471	Fam35a	14	34237041	34310503
ENSMUSG00000090385	Gm7316	14	43211909	43214147
ENSMUSG00000021871	Pnp	14	50944302	50965237
ENSMUSG00000022112	Gpc5	14	115092215	116525179
ENSMUSG00000097589	Dleu2	14	61602839	61682373
ENSMUSG00000022051	Bnip3l	14	66985239	67008877
ENSMUSG00000098156	Gm27023	17	61781683	61781967
ENSMUSG00000068036	Mllt4	17	13760539	13906150
ENSMUSG00000096975	Gm16386	17	22784798	22817741
ENSMUSG00000015597	Zfp318	17	46383731	46420920
ENSMUSG00000092174	Gm7029	17	33866879	33874116
ENSMUSG00000083433	Gm15405	17	92039660	92040001
ENSMUSG00000042099	Kank3	17	33810520	33822918
ENSMUSG00000023963	Cyp39a1	17	43667425	43751431
ENSMUSG00000024083	Pja2	17	64281005	64331916
ENSMUSG00000015468	Notch4	17	34564268	34588503
ENSMUSG00000099014	Gm27359	17	82193755	82193864
ENSMUSG00000024256	Adcyap1	17	93199422	93205485
ENSMUSG00000061232	H2-K1	17	33996017	34000333
ENSMUSG00000038954	Supt3	17	44777152	45119290
ENSMUSG00000097625	Gm26561	17	70878078	71393284
ENSMUSG00000039153	Runx2	17	44495987	44814797
ENSMUSG00000024128	Sbp	17	23941672	23945607
ENSMUSG00000034265	Zdhhc14	17	5492600	5753891
ENSMUSG00000068141	Gm10232	17	3044014	3044733
ENSMUSG00000003279	Dlgap1	17	69969073	70821413
ENSMUSG00000022816	Fstl1	16	37776873	37836514
ENSMUSG00000035629	1700021K19Rik	16	32821703	32877766
ENSMUSG00000008658	Rbfox1	16	6809222	7412479
ENSMUSG00000033383	Rtp1	16	23429133	23433960
ENSMUSG00000044442	N6amt1	16	87354185	87368742
ENSMUSG00000098983	Gm28003	16	93072755	93072822
ENSMUSG00000022641	Bbx	16	50191844	50432390
ENSMUSG00000095070	Gm24508	16	84294535	84294641
ENSMUSG00000013089	Etv5	16	22381309	22439719
ENSMUSG00000059003	Grin2a	16	9567898	9995560
ENSMUSG00000064115	Cadm2	16	66655421	67620908
ENSMUSG00000077718	Gm25723	16	52946804	52946929
ENSMUSG00000081453	Gm6767	16	51362452	51363832
ENSMUSG00000022523	Fgf12	16	28160120	28445227
ENSMUSG00000004460	Dnajb11	16	22857845	22879634
ENSMUSG00000022883	Robo1	16	72663149	73046095
ENSMUSG00000022883	Robo1	16	72663149	73046095
ENSMUSG00000101565	1700003L19Rik	16	12811390	12848653
ENSMUSG00000058368	Krtap21-1	16	89403027	89403774
ENSMUSG00000022812	Gsk3b	16	38089001	38246084
ENSMUSG00000024897	Apba1	19	23758876	23949597
ENSMUSG00000063434	Sorcs3	19	48206025	48805505
ENSMUSG00000043531	Sorcs1	19	50143301	50678646
ENSMUSG00000097683	Gm26644	19	44692367	44695275
ENSMUSG00000033768	Nrxn2	19	6418731	6544169
ENSMUSG00000064783	Gm22684	19	20033504	20033635
ENSMUSG00000099988	1700054A03Rik	19	53076218	53084392
ENSMUSG00000057240	Ms4a13	19	11169418	11196737
ENSMUSG00000100969	1700030N03Rik	19	3065711	3197714
ENSMUSG00000024766	Lipo1	19	33517740	33761951
ENSMUSG00000063586	Gm5513	19	14959549	14960766
ENSMUSG00000025221	Kcnip2	19	45791839	45816061
ENSMUSG00000060613	Cyp2c70	19	40153353	40187333
ENSMUSG00000043531	Sorcs1	19	50143301	50678646
ENSMUSG00000062083	Rpl13a-ps1	19	50030124	50030735
ENSMUSG00000041845	Rhod	19	4425459	4439432
ENSMUSG00000048356	Olfr1496	19	13780548	13781614
